horizon,fold,run,mae,rmse,smape,val_loss
24,1,1,8177.6826171875,10101.9306640625,0.19885767996311188,102049010.46474326
24,1,2,8001.0859375,9910.8955078125,0.1948225051164627,98225862.30101031
24,1,3,7877.6640625,9729.470703125,0.1918468475341797,94662597.61441517
24,2,1,9432.4833984375,11730.5009765625,0.24972529709339142,137604663.99875012
24,2,2,8487.8798828125,10707.810546875,0.22781799733638763,114657207.25924383
24,2,3,8988.6884765625,11237.1259765625,0.2392081469297409,126272994.8880325
24,3,1,9161.7998046875,11582.70703125,0.2537958323955536,134159089.86813873
24,3,2,9162.5029296875,11556.9814453125,0.25559335947036743,133563827.61212374
24,3,3,8079.5068359375,10320.3017578125,0.22775135934352875,106508615.75085929
168,1,1,8589.978515625,10740.1357421875,0.20781812071800232,115350518.48096848
168,1,2,8677.1044921875,10859.5107421875,0.2097172737121582,117928980.32762569
168,1,3,8600.0380859375,10758.0556640625,0.2079220563173294,115735772.47682407
168,2,1,9669.2490234375,12099.9111328125,0.2572658658027649,146407852.7848184
168,2,2,9651.44921875,12054.7705078125,0.25703078508377075,145317485.49852765
168,2,3,9635.9462890625,12128.9619140625,0.2560468912124634,147111715.34518486
168,3,1,9689.0517578125,12348.7568359375,0.2671407163143158,152491789.55349547
168,3,2,9595.9775390625,12211.6748046875,0.26524823904037476,149124997.26818627
168,3,3,8435.6533203125,10886.572265625,0.23742741346359253,118517445.44268732
720,1,1,7300.1142578125,9378.666015625,0.17891936004161835,87959391.05656861
720,1,2,7306.25537109375,9335.26171875,0.17986737191677094,87147118.45387994
720,1,3,7318.908203125,9371.966796875,0.17929767072200775,87833757.66058831
720,2,1,8195.69921875,10309.998046875,0.22032250463962555,106296064.0756023
720,2,2,8208.5673828125,10450.4580078125,0.2216220200061798,109212088.06175962
720,2,3,8128.28662109375,10320.4169921875,0.2190503180027008,106511015.1220551
720,3,1,8585.6240234375,10973.462890625,0.24606172740459442,120416890.40809263
720,3,2,8656.2607421875,11035.3134765625,0.2464207112789154,121778136.31838147
720,3,3,8491.763671875,11027.8466796875,0.24113526940345764,121613407.88286969
