horizon,fold,run,mae,rmse,smape,val_loss
24,1,1,7084.22021484375,8788.59765625,0.1725180745124817,2200.654170549541
24,1,2,6971.91455078125,8621.3974609375,0.17001155018806458,2170.880449373111
24,1,3,7058.20703125,8726.6923828125,0.17170581221580505,2191.376124202026
24,2,1,8034.6064453125,10033.47265625,0.21744652092456818,2535.47904018361
24,2,2,7091.0126953125,9051.3828125,0.1934226155281067,2289.2224441699227
24,2,3,8203.896484375,10324.0380859375,0.22044500708580017,2621.2214396870177
24,3,1,7265.53369140625,9208.140625,0.2060924768447876,2315.52932999614
24,3,2,6292.24365234375,8128.64453125,0.1836380809545517,2040.7919621586886
24,3,3,7966.83544921875,10029.5048828125,0.22487010061740875,2519.943647319355
168,1,1,7610.1533203125,9657.3076171875,0.1869330108165741,2433.098748484244
168,1,2,8151.54931640625,10217.9833984375,0.19938401877880096,2554.707694296468
168,1,3,7209.62060546875,9234.28515625,0.1781589537858963,2361.776535623249
168,2,1,9322.9248046875,11833.751953125,0.24505430459976196,3052.126853650064
168,2,2,9593.5869140625,12116.0234375,0.2535073459148407,3065.0291124911996
168,2,3,9087.5400390625,11331.0537109375,0.24340498447418213,2856.854944371427
168,3,1,7547.482421875,9723.4423828125,0.21724040806293488,2432.9167842547567
168,3,2,7368.59423828125,9514.388671875,0.213041752576828,2358.78711634018
168,3,3,7556.22021484375,9892.7578125,0.2165309488773346,2443.0281809812545
720,1,1,7079.9873046875,9201.69921875,0.17055556178092957,2333.0709413641193
720,1,2,7353.1982421875,9462.080078125,0.17667408287525177,2391.394160918461
720,1,3,8494.833984375,10705.1826171875,0.20198428630828857,2681.7949280257517
720,2,1,9962.0048828125,12849.41796875,0.2594068646430969,3282.4131839877195
