horizon,fold,run,mae,rmse,smape,val_loss
24,1,1,7447.87939453125,9366.373046875,0.18239526450634003,2324.3987259373616
24,1,2,7766.96533203125,9636.61328125,0.1891409009695053,2403.886110852304
24,1,3,8105.7939453125,10069.7763671875,0.19690904021263123,2527.0782236632253
24,2,1,8466.9775390625,10735.603515625,0.22747883200645447,2656.142855856893
24,2,2,8133.13330078125,10356.974609375,0.2191694676876068,2557.731217776794
24,2,3,8573.9580078125,10804.224609375,0.22924751043319702,2687.2673295979303
24,3,1,8499.5205078125,10802.82421875,0.23865503072738647,2672.7608575319305
24,3,2,8589.052734375,10984.05859375,0.239860400557518,2703.8357721882403
24,3,3,8679.630859375,11115.6474609375,0.241773322224617,2755.397363164278
168,1,1,8640.216796875,10800.212890625,0.20891070365905762,2684.07630897611
168,1,2,8662.802734375,10873.70703125,0.2093011885881424,2709.016456846141
168,1,3,8663.623046875,10859.6455078125,0.20930637419223785,2691.982278623112
168,2,1,9677.0986328125,12160.771484375,0.2571360170841217,3034.744784406441
168,2,2,8899.2509765625,11175.8505859375,0.23952969908714294,2797.4272740252054
168,2,3,9822.7880859375,12399.177734375,0.25986984372138977,3086.639183001997
168,3,1,9592.6015625,12260.99609375,0.26472434401512146,3027.119870969989
168,3,2,9585.359375,12183.3115234375,0.26505762338638306,3039.954212755787
168,3,3,8093.97216796875,10719.1884765625,0.2290317416191101,2630.6193427219946
720,1,1,7402.0244140625,9562.3544921875,0.18066705763339996,2368.582172769023
720,1,2,7463.57373046875,9608.6357421875,0.18228627741336823,2378.299599021852
720,1,3,7243.400390625,9357.6845703125,0.17701265215873718,2318.706225582688
720,2,1,8341.5107421875,10706.337890625,0.22414915263652802,2682.1320131368648
720,2,2,8352.220703125,10552.115234375,0.22580291330814362,2621.855391377602
720,2,3,8330.0947265625,10566.8818359375,0.22484244406223297,2653.6279029759876
720,3,1,8476.6787109375,10969.705078125,0.24144506454467773,2672.694456106811
720,3,2,8311.9130859375,10831.7646484375,0.23708118498325348,2622.8439472167515
720,3,3,8440.41015625,10975.7744140625,0.23984383046627045,2683.790717638905
